especie,c_11,c_15,c_16,c_17,c_18
01_malva_branca_Agua_Boa_01,0,1,1,0,0
02_Vassourinha_botao_Agua_Boa_02,0,1,0,0,0
03_brizantha_Agua_Boa_03,1,0,0,1,0
04_cipo_fogo_Agua_Boa_04,0,0,1,0,0
05_Salsa_Agua_Boa_05,0,0,0,0,0
06_capim_navalha_Agua_Boa_06,1,0,0,1,1
07_capim_capeta_Agua_Boa_07,1,0,0,1,0
08_malicia_Agua_Boa_08,0,1,0,0,0
09_pe_galinha_Agua_Boa_09,1,0,0,0,1
10_carrapico_Agua_Boa_10,1,0,0,0,1
11_apaga_fogo_Agua_Boa_11,0,1,0,0,0
12_Andropogon_Agua_Boa_12,1,0,0,1,1
13_Traquipoon_Agua_Boa_13,1,0,0,0,1
14_Jaragua_Agua_Boa_14,1,0,0,0,1
15_Quicuio_Agua_Boa_15,1,0,0,0,1
16_Massai_Agua_Boa_16,1,0,0,1,0
17_Ruziziensis_Agua_Boa_17,1,0,0,1,0
20_Guanxuma_Paludo_02,0,1,1,0,0
21_Mata_Pasto_Paludo_03,0,1,1,0,0
23_Braquiarinha_Paludo_04,1,0,0,0,1
24_Mombaça_Paludo_05,1,0,0,0,1
26_Calapogonio_Paludo_07,0,0,0,0,0
27_Mavuno_Paludo_08,1,0,0,0,1
28_Corda_de_viola_Paludo_09,0,0,0,0,0
29_Paiaguas_Paludo_10,1,0,0,0,0
30_Inaja_Serra_da_Prata_01,0,0,0,1,1
31_Cipo_Serra_da_Prata_02,0,0,1,0,0
32_Jurubebinha_Serra_da_Prata_03,0,0,1,0,0
33_Capim_gengibre_Serra_da_Prata_04,1,0,0,0,1
35_Chumbinho_Serra_da_Prata_05,0,1,1,0,0
36_Unha_de_gato_Serra_da_Prata_06,0,0,1,0,0
